Date;Open;High;Low;Close;Volume
2011.08.02 00:00;1766.1;1771.6;1760.6;1770.95;1
2011.08.03 00:00;1770.2;1776.5;1768.6;1770.9;1
2011.08.04 00:00;1770.1;1788.0;1768.95;1786.95;1
2011.08.05 00:00;1785.0;1802.8;1782.4;1790.0;1
2011.08.08 00:00;1789.0;1816.0;1789.3;1815.5;1
2011.08.09 00:00;1814.5;1818.0;1800.6;1811.9;1
2011.08.10 00:00;1811.5;1813.0;1795.0;1796.2;1
2011.08.11 00:00;1795.0;1804.0;1788.8;1789.4;1
2011.08.12 00:00;1787.8;1788.8;1779.6;1785.0;1
2011.08.15 00:00;1784.0;1787.5;1781.75;1785.0;1
2011.08.16 00:00;1784.1;1787.5;1772.5;1775.0;1
2011.08.17 00:00;1774.0;1777.5;1765.01;1766.0;1
2011.08.18 00:00;1765.4;1781.01;1766.4;1777.5;1
2011.08.19 00:00;1776.5;1783.25;1774.0;1783.0;1
2011.08.22 00:00;1782.0;1783.5;1774.0;1780.0;1
2011.08.23 00:00;1779.0;1780.0;1775.51;1778.5;1
2011.08.24 00:00;1786.0;1796.0;1783.0;1786.0;1
2011.08.25 00:00;1785.0;1796.3;1785.0;1791.0;1
2011.08.26 00:00;1789.9;1797.4;1790.9;1794.0;1
2011.08.29 00:00;1793.0;1795.0;1787.0;1787.0;1
2011.08.30 00:00;1786.0;1789.0;1781.0;1787.0;1
2011.08.31 00:00;1786.0;1787.0;1778.0;1778.0;1
2011.09.01 00:00;1777.0;1781.5;1776.0;1779.5;1
2011.09.02 00:00;1778.5;1785.5;1778.75;1783.5;1
2011.09.05 00:00;1782.0;1787.25;1783.5;1787.0;1
2011.09.06 00:00;1786.0;1795.5;1783.0;1791.3;1
2011.09.07 00:00;1790.2;1793.25;1786.0;1790.55;1
2011.09.08 00:00;1789.0;1795.5;1786.5;1790.0;1
2011.09.09 00:00;1787.5;1800.7;1788.5;1793.5;1
2011.09.12 00:00;1792.0;1815.15;1793.5;1811.0;1
